Mon Nov 29 09:44:32 2021    output.dat

         45699553 function calls (44755293 primitive calls) in 48.241 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   491580    5.516    0.000    5.516    0.000 {built-in method torch._C._nn.linear}
   247610    3.287    0.000    3.287    0.000 {built-in method tensor}
   910092    2.212    0.000    2.212    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\helper.py:14(distance_between)
   167563    1.985    0.000    2.831    0.000 D:\Programs\Conda\lib\inspect.py:2926(_bind)
  1380792    1.424    0.000    1.879    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\environment.py:82(is_collision)
   245790    1.413    0.000    1.413    0.000 {built-in method argmax}
   245790    1.137    0.000   10.611    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\model.py:19(forward)
   245790    1.075    0.000    5.741    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\agents.py:23(get_state)
   245790    1.044    0.000    1.044    0.000 {built-in method relu}
737370/245790    0.976    0.000   11.212    0.000 D:\Programs\Conda\lib\site-packages\torch\nn\modules\module.py:1045(_call_impl)
        1    0.777    0.777   48.319   48.319 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\controller.py:17(run)
   245790    0.759    0.000    2.971    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\population.py:133(get_closest_agent)
   491580    0.750    0.000    7.001    0.000 D:\Programs\Conda\lib\site-packages\torch\nn\modules\linear.py:95(forward)
   245790    0.725    0.000   17.030    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\agents.py:76(get_action)
  1489372    0.708    0.000    0.710    0.000 D:\Programs\Conda\lib\site-packages\torch\nn\modules\module.py:1117(__getattr__)
    87489    0.582    0.000    2.579    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:1038(update)
   314458    0.577    0.000    0.577    0.000 {built-in method numpy.array}
1079269/914397    0.561    0.000    1.444    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:241(stale)
   245790    0.537    0.000    1.755    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\environment.py:44(play_step)
     3381    0.514    0.000    0.514    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
  1084850    0.463    0.000    0.624    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\__init__.py:604(__getitem__)
  1390802    0.458    0.000    0.458    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\environment.py:26(point_exists)
