Mon Nov 29 15:34:23 2021    output.dat

         47845633 function calls (47038913 primitive calls) in 40.326 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   200602    2.240    0.000    3.214    0.000 D:\Programs\Conda\lib\inspect.py:2926(_bind)
   175750    1.956    0.000    1.956    0.000 {built-in method torch._C._nn.linear}
      408    1.197    0.003    1.197    0.003 {method 'close' of '_io.BufferedWriter' objects}
    89695    1.187    0.000    1.187    0.000 {built-in method tensor}
477206/476657    0.819    0.000    0.820    0.000 {built-in method numpy.array}
   314142    0.757    0.000    0.757    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\helper.py:14(distance_between)
1391535/1146839    0.700    0.000    1.930    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:241(stale)
   103626    0.657    0.000    2.959    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:1038(update)
  1356725    0.555    0.000    0.756    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\__init__.py:604(__getitem__)
   200859    0.551    0.000    0.551    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   491910    0.519    0.000    0.683    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\environment.py:82(is_collision)
    87875    0.513    0.000    0.513    0.000 {built-in method argmax}
     3089    0.461    0.000    0.461    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
200602/60156    0.416    0.000   19.967    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\_api\deprecation.py:404(wrapper)
    87875    0.390    0.000    3.731    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\model.py:19(forward)
    87875    0.384    0.000    2.002    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\agents.py:23(get_state)
    22044    0.373    0.000    3.382    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:276(__init__)
    87875    0.370    0.000    0.370    0.000 {built-in method relu}
340140/298534    0.346    0.000    2.221    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
  2014843    0.344    0.000    0.458    0.000 {built-in method builtins.isinstance}
    64274    0.343    0.000    0.559    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:1726(normalize_kwargs)
  1243222    0.343    0.000    0.620    0.000 {built-in method builtins.getattr}
        1    0.334    0.334   40.134   40.134 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\controller.py:17(run)
263625/87875    0.329    0.000    3.935    0.000 D:\Programs\Conda\lib\site-packages\torch\nn\modules\module.py:1045(_call_impl)
  1680541    0.312    0.000    0.874    0.000 {built-in method builtins.next}
   242736    0.312    0.000    0.444    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:2094(_setattr_cm)
  3399573    0.309    0.000    0.309    0.000 D:\Programs\Conda\lib\inspect.py:2577(kind)
   271970    0.300    0.000    0.421    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:259(process)
   103369    0.299    0.000    0.866    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\pyplot.py:822(_auto_draw_if_interactive)
   149887    0.293    0.000    0.794    0.000 D:\Programs\Conda\lib\site-packages\numpy\core\fromnumeric.py:70(_wrapreduction)
  1362986    0.282    0.000    0.282    0.000 {method 'items' of 'dict' objects}
       62    0.281    0.005    0.281    0.005 {built-in method matplotlib.backends._tkagg.blit}
   229295    0.271    0.000    0.318    0.000 D:\Programs\Conda\lib\contextlib.py:86(__init__)
    48527    0.270    0.000    0.528    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:99(__init__)
   177399    0.255    0.000    0.336    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:1750(__init__)
   542434    0.253    0.000    0.256    0.000 D:\Programs\Conda\lib\site-packages\torch\nn\modules\module.py:1117(__getattr__)
    87875    0.251    0.000    1.008    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\population.py:170(get_closest_agent)
    87875    0.250    0.000    6.010    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\agents.py:76(get_action)
   175750    0.250    0.000    2.467    0.000 D:\Programs\Conda\lib\site-packages\torch\nn\modules\linear.py:95(forward)
     7287    0.249    0.000    6.574    0.001 D:\Programs\Conda\lib\site-packages\matplotlib\axis.py:57(__init__)
    56697    0.248    0.000    0.278    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\_api\__init__.py:64(check_isinstance)
   128553    0.237    0.000    0.290    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:207(set_children)
    42930    0.227    0.000    0.959    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\font_manager.py:638(__init__)
    43186    0.223    0.000    0.274    0.000 D:\Programs\Conda\lib\site-packages\torch\nn\modules\module.py:1133(__setattr__)
    74402    0.206    0.000    0.604    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:780(__init__)
  1356725    0.201    0.000    0.201    0.000 {function RcParams.__getitem__ at 0x000001F82DB3E550}
    87875    0.189    0.000    0.623    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\environment.py:44(play_step)
   318780    0.184    0.000    0.227    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\_api\__init__.py:100(check_in_list)
   269102    0.182    0.000    0.320    0.000 {built-in method builtins.any}
  1394077    0.173    0.000    0.173    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:822(get_animated)
   229295    0.170    0.000    0.435    0.000 D:\Programs\Conda\lib\contextlib.py:121(__exit__)
  1742284    0.167    0.000    0.167    0.000 D:\Programs\Conda\lib\inspect.py:2565(name)
   501997    0.167    0.000    0.167    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\environment.py:26(point_exists)
       61    0.166    0.003   11.975    0.196 {method 'mainloop' of '_tkinter.tkapp' objects}
  832/770    0.155    0.000    0.437    0.001 {method 'call' of '_tkinter.tkapp' objects}
   270272    0.155    0.000    0.574    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:356(pchanged)
    20879    0.154    0.000    2.531    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\artist.py:749(set_clip_path)
     4187    0.153    0.000    0.241    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   181426    0.152    0.000    0.152    0.000 {method 'copy' of 'numpy.ndarray' objects}
    10293    0.151    0.000    0.783    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\lines.py:660(recache)
   263625    0.150    0.000    0.150    0.000 {built-in method torch._C._get_tracing_state}
   342829    0.146    0.000    0.146    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\transforms.py:107(__init__)
   229295    0.146    0.000    0.464    0.000 D:\Programs\Conda\lib\contextlib.py:242(helper)
  1049790    0.143    0.000    0.143    0.000 {method 'pop' of 'dict' objects}
    87875    0.142    0.000    0.142    0.000 {method 'item' of 'torch._C._TensorBase' objects}
     4960    0.141    0.000    1.285    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\ticker.py:2202(_raw_ticks)
    16440    0.136    0.000    1.254    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\text.py:864(get_window_extent)
    42567    0.136    0.000    0.667    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\markers.py:296(_set_marker)
   175750    0.135    0.000    2.120    0.000 D:\Programs\Conda\lib\site-packages\torch\nn\functional.py:1831(linear)
   229295    0.135    0.000    0.586    0.000 D:\Programs\Conda\lib\contextlib.py:112(__enter__)
    52535    0.127    0.000    0.283    0.000 c:\Users\Jaen\Documents\RU 20-21\SEM7\Thesis\snake-ai-pytorch-main\environment.py:117(_move)
    53993    0.127    0.000    0.127    0.000 D:\Programs\Conda\lib\site-packages\matplotlib\cbook\__init__.py:170(__init__)
